EventId,EventTemplate,Occurrences
d58a26f6,PacketResponder <*> for block blk_<*> terminating,311
2f313c72,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:50010 is added to blk_<*> size <*>,314
797b9c47,Received block blk_<*> of size <*> from /<*>,292
9b7aa7a3,Receiving block blk_<*> src: <*> dest: /<*>:50010,292
315cac1e,BLOCK* NameSystem.allocateBlock: <*>. blk_<*>,115
d23206c6,Verification succeeded for blk_<*>,20
b0023896,Deleting block blk_<*> file <*><*>,263
6caae5bd,<*>:50010 Served block blk_<*> to /<*>,80
be6f070c,<*>:50010:Got exception while serving blk_<*> to /<*>:,80
bb837bbd,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:50010,224
0d168c98,<*>:50010 Starting thread to transfer block blk_<*> to <*>:50010,1
9a8a12e9,BLOCK* ask <*>:50010 to delete blk_<*>,2
02dbedea,Received block blk_<*> src: <*> dest: /<*>:50010 of size 67108864,2
3f7f64d9,BLOCK* ask <*>:50010 to delete blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*>,2
d7507d1e,BLOCK* ask <*>:50010 to replicate blk_<*> to datanode(s) <*>:50010,1
6c406982,BLOCK* ask <*>:50010 to delete blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*> blk_<*>,1
